video_id,publish_date,passive_voice_count,relative_frequency,vvn_strings
yb5HI5aZNvo,20231109,7,0.7478632478632479,"seen, driven, born, seen, heard, released, presented"
NM_kOaI3Nys,20240823,1,0.13175230566534915,made
-nH9LYNAnKQ,20240307,0,0.0,
W6MfuI04tnM,20240108,1,0.10615711252653928,adjudicated
tC6alA9utqg,20240319,0,0.0,
vUA6XrdH0Ig,20240504,2,0.15060240963855423,"described, quoted"
ygao73eup5k,20240715,3,0.23255813953488372,"welcomed, offered, destroyed"
4VcIhEjQARk,20240403,0,0.0,
SiGusU0uu3c,20231212,4,0.5298013245033113,"sent, displaced, displaced, asked"
MOUFa6Kr7VM,20231011,19,0.5504055619930475,"launched, abducted, taken, posted, dragged, closed, discovered, released, attacked, abducted, got, pulled, found, taken, created, programed, slaughtered, programed, bound"
RVMGvEvNr_A,20240506,5,0.3952569169960474,"told, promised, targeted, overtaken, made"
q7q4ifX3g4s,20240813,1,0.11750881316098707,said
8fk7a35sMP8,20240229,5,0.5133470225872689,"killed, injured, overwhelmed, overwhelmed, run"
sllsUZSQ9Po,20240204,3,0.25380710659898476,"killed, shipped, released"
w1ev26-7uAw,20240524,5,0.3037667071688943,"announced, recalled, established, called, reached"
rMiO3DoaudU,20231023,0,0.0,
5wX7rtI-U2g,20240903,3,0.2597402597402597,"killed, bulldozed, left"
HcRbfI-BzEo,20231108,1,0.04875670404680643,tainted
9v_lhmFGzug,20240809,6,0.1694915254237288,"killed, killed, revived, released, killed, killed"
OTsjNUHECyo,20231122,11,1.109989909182644,"confirmed, injured, killed, buried, killed, killed, forced, killed, killed, killed, told"
ZpS3rq4htyA,20240402,5,0.30921459492888065,"killed, killed, killed, killed, said"
75P2jJsxK5E,20240707,14,1.1226944667201284,"killed, killed, estimated, killed, rushed, treated, made, displaced, killed, injured, displaced, revived, put, dropped"
0qcrdGLFj_4,20240703,1,0.2777777777777778,killed
RuAKfNWogg4,20231108,10,0.4514672686230248,"killed, limited, called, described, built, built, used, designed, collapsed, described"
N59I35ug18o,20231126,13,0.9206798866855523,"delayed, held, released, killed, murdered, agreed, delayed, selected, released, handed, brought, agreed, talked"
lFqohsr2JUE,20240816,10,0.7898894154818324,"destroyed, destroyed, raised, put, put, destroyed, asked, told, sprayed, lost"
EzuhWgbH-MM,20231213,6,0.2967359050445104,"bombed, displaced, asked, killed, displaced, killed"
e28HUQemxro,20231228,3,0.23715415019762848,"killed, displaced, evacuated"
JiARfFE_AiM,20240131,4,0.43956043956043955,"forced, forced, displaced, forced"
K30VZ5-Iepo,20240120,2,0.234192037470726,"concerned, reported"
wh3QTVj8ta4,20240407,1,0.35842293906810035,forced
dTRVE4lV_sc,20240823,0,0.0,
Ruq6YlmvXHU,20231106,3,0.13477088948787064,"involved, provided, surprised"
u7UF4sooLEk,20240215,1,0.12738853503184713,ordered
WGmUq0UP5GQ,20240225,0,0.0,
1CpJCOk17w4,20240719,1,0.11402508551881414,supposed
NsNDr6Su65I,20240821,0,0.0,
cBSUICMFDiE,20231031,8,0.3664681630783326,"intercepted, displaced, killed, killed, martyred, killed, hit, stried"
QW-cWj7WatE,20240710,9,0.6574141709276844,"killed, fired, come, killed, harmed, harmed, hid, asked, seen"
YT3CV8T6_vY,20240810,3,0.4329004329004329,"reported, taken, trapped"
mex-jSmyh48,20231225,6,0.2376237623762376,"killed, produced, told, stolen, released, used"
RaI0NwxzDWw,20240102,10,0.499001996007984,"carried, killed, killed, engaged, launched, launched, cancelled, supposed, founded, killed"
3RRSZ-l4uGs,20240129,5,0.4149377593360996,"killed, killed, carried, conducted, coordinated"
t1zqjgGKxzU,20240129,1,0.07686395080707148,killed
L5wEjLNUGlc,20231112,19,0.5621301775147929,"displaced, displaced, shot, shot, suspended, exposed, bombarded, comped, attacked, attacked, killed, injured, inured, shot, destructed, killed, killed, killed, killed"
6H5qelKTDew,20240311,5,0.30284675953967294,"given, granted, told, dented, predicted"
NslmiNi8g_8,20240221,5,0.30413625304136255,"banned, closed, held, shown, done"
JgbVZq1BhI8,20240216,3,0.23790642347343377,"confirmed, told, displaced"
fwV2P9PuWng,20240304,6,0.14563106796116504,"taken, moved, reported, destroyed, taken, asked"
wyqHuhmsA28,20240331,0,0.0,
dDFk9IBdRj0,20240501,1,0.07674597083653108,closed
KpiaMIhCmtQ,20231026,0,0.0,
Es8fY901Tbk,20240521,1,0.10626992561105207,issued
8PeQPFfDhi4,20240321,3,0.4815409309791332,"taken, kicked, put"
K7b9ZJUCmNc,20231026,0,0.0,
6PMv_Z6a_yU,20240122,1,0.0975609756097561,leaked
W17RwKG33hQ,20231111,5,0.3021148036253776,"committed, committed, United, divided, supported"
Q7v5BPloG10,20240212,3,0.6637168141592921,"involved, involved, founded"
9eUjeGQXpTQ,20240119,0,0.0,
1WsLMJbbh2o,20240510,3,0.2958579881656805,"decided, met, started"
aFAMlKG62hs,20231024,0,0.0,
aFAMlKG62hs,20231024,0,0.0,
Uar3I_LUSyM,20231011,13,0.3688989784335982,"involved, involved, inspired, confirmed, kidnapped, done, done, released, offered, released, made, financed, forced"
1BG-qGf7_-c,20240522,10,0.2403846153846154,"sought, done, faced, done, allowed, attacked, done, used, done, protected"
Bq-egJlwHlo,20240422,2,0.4132231404958678,"found, found"
ZT8d9-98PIs,20240803,31,0.4891132849479331,"turned, approved, leveled, brought, displaced, denied, surrounded, prosecuted, set, prosecuted, raided, destroyed, detained, abducted, shut, stripped, left, killed, killed, brought, brought, attacked, stationed, found, taken, killed, killed, given, destroyed, destroyed, killed"
Ux5Zk8CzGec,20231011,6,0.5763688760806917,"kidnapped, raided, burned, kidnapped, done, born"
qcg07VlxBT4,20240509,4,0.3703703703703704,"engaged, displaced, struck, fired"
C87Aknwdfug,20231106,6,0.39087947882736157,"killed, killed, pulled, born, forced, born"
eZdCXC1ubOw,20240804,7,0.5533596837944664,"injured, killed, killed, shot, confirmed, done, shot"
RJ72FmcnLRA,20231101,11,0.31746031746031744,"forced, allowed, injured, allowed, put, told, killed, transferred, let, released, released"
wM3WA2Eafl4,20231125,21,0.8430349257326376,"freed, released, released, jailed, released, set, included, killed, released, returned, jailed, jailed, shot, felt, reunited, paraded, wounded, released, shot, killed, involved"
_q70phXW2es,20240307,3,0.20964360587002098,"turned, looted, suppressed"
MgeO5qIGmqU,20231123,9,0.391815411406182,"done, supposed, involved, agreed, bombed, taken, released, captured, captured"
O4TAt3-qMXY,20240226,2,0.12353304508956146,"entitled, entitled"
AcfMmP4-Xkg,20240602,6,0.291403593977659,"laid, put, proposed, worked, crossed, accomplished"
pghyvBNaG_4,20231229,12,0.9188361408882083,"destroyed, killed, killed, displaced, destroyed, classified, killed, bombed, displaced, killed, killed, wounded"
9tMD7wTRcZ4,20231031,3,0.26292725679228746,"kidnapped, found, assured"
_2SbkxtSl8g,20240105,5,0.3419972640218878,"killed, considered, laid, killed, caused"
B8Nznaz4SY8,20240327,6,0.31512605042016806,"surprised, killed, denied, denied, announced, announced"
xJSMk7Ey17U,20231123,17,0.5426109160548994,"reported, killed, exerted, killed, delayed, achieved, delayed, taken, opposed, struck, discussed, arrested, convicted, delayed, delayed, made, delayed"
Ipb25CX0fEY,20231222,0,0.0,
LYVQrakhMqI,20231020,2,0.13869625520110956,"bombed, destroyed"
BK-W8EjLCOk,20231106,0,0.0,
rbgU5S1rH-Q,20231124,11,0.2932551319648094,"killed, expected, told, notified, told, approved, displaced, discharged, taken, left, told"
oLiqtXezpuM,20240815,0,0.0,
g37yu-lfdxA,20240815,6,0.20768431983385255,"released, accused, suggested, assassinated, involved, Left"
uzQBNEz_k50,20240826,0,0.0,
KOFcIP-lc6M,20231013,8,0.5079365079365079,"killed, disbanded, killed, killed, set, engaged, heated, asked"
ngzBDjPIj18,20240729,3,0.25996533795493937,"driven, coopted, made"
knm9ILovWlk,20240510,5,0.333555703802535,"displaced, displaced, raised, asked, displaced"
psr9UMCbfb4,20240319,3,0.1735106998264893,"allowed, based, targeted"
Q4hgtJy2zNI,20240127,4,0.20387359836901123,"killed, involved, involved, reported"
L3W9fvtTHKs,20240713,2,0.2869440459110474,"taken, deemed"
HsAgj-mZLYg,20231014,4,0.14820303816228234,"given, cut, killed, announced"
c7VoO1mKZIw,20231015,7,0.45691906005221933,"taken, represented, abducted, killed, taken, killed, struck"
n-UkvlrIkug,20240103,1,0.24154589371980675,reported
d2m7WC5nem4,20240316,0,0.0,
kNgUiYzUlWc,20231106,15,0.43490866917947235,"killed, killed, allowed, deemed, struck, cut, struck, made, carried, shuttered, freed, killed, injured, inflicted, weakened"
EHqq66hs68Y,20231105,5,0.33200531208499334,"conducted, cut, centered, killed, based"
4iFfFJcCc1Y,20240123,4,0.36036036036036034,"killed, engaged, mined, attacked"
CMUIiVuf0q4,20231111,7,0.2220812182741117,"suspended, struck, allowed, embedded, kidnapped, called, relocated"
qLW2CzsF_b8,20231107,6,0.2027712064886786,"kidnapped, suggested, killed, told, given, described"
EZRYRDPIuiY,20231106,6,0.3911342894393742,"killed, conducted, bombed, told, completed, killed"
fw3FYfcR6GE,20240107,0,0.0,
dzcSrGxrTNc,20231015,7,0.3448275862068966,"killed, displaced, evacuated, told, given, Unleashed, killed"
hYC4XmIAJ5M,20240126,4,0.49261083743842365,"martyred, hit, killed, committed"
i99qdu2QH0w,20231011,7,0.3216911764705882,"killed, told, hit, shut, caught, weakened, stored"
UW7fo9FPdys,20240517,3,0.28929604628736744,"designed, accused, disrupted"
w8K0unl_SYY,20240111,4,0.5291005291005291,"hit, buried, killed, committed"
U8LQIxpXv8M,20231105,3,0.20761245674740486,"killed, damaged, supposed"
62FAnfkm6vU,20231019,6,0.39499670836076367,"killed, caused, bombed, displaced, spoken, spared"
zCnUBmIVTh8,20231206,2,0.11940298507462686,"told, indicated"
2A5yuft_ep4,20231211,8,0.2952029520295203,"reported, killed, blocked, produced, called, displaced, displaced, displaced"
Zfse3uZvHjM,20231112,3,0.130718954248366,"born, allowed, confirmed"
gYiEEu4-f0s,20231124,7,0.1691638472692122,"displaced, filmed, destroyed, Riven, mentioned, built, killed"
Q5paF8cALsc,20231205,5,0.25342118601115055,"born, taken, displaced, asked, bombed"
qLwNWATuVVw,20231123,8,0.25220680958385877,"postponed, arrested, charged, arrested, eliminated, released, told, mounted"
DJPNkvLvnl0,20240218,2,0.27210884353741494,"killed, arrested"
uLdv113Mn9w,20231204,11,0.28735632183908044,"reported, told, cut, instructed, released, killed, averted, averted, told, told, eliminated"
TPDSbBydLW4,20231023,7,0.40462427745664736,"displaced, killed, destroyed, displaced, allowed, killed, called"
87m6LOCi_Cw,20231028,5,0.2385496183206107,"knocked, consulted, damaged, targeted, cut"
F-qKjLxYYSw,20231220,8,0.4484304932735426,"killed, killed, displaced, killed, lost, held, delayed, expected"
sVmsNN_RN7w,20231221,11,0.8320726172465961,"used, killed, damaged, delayed, delayed, reported, accused, supposed, released, used, used"
q7BrwJ8LREc,20231207,18,0.5136986301369862,"told, defined, surprised, handled, held, held, scared, scared, terrified, perceived, deemed, killed, killed, taken, released, held, taken, taken"
opUDordkmZk,20240207,4,0.24752475247524752,"displaced, halted, agreed, struck"
iHbEhdnz9qM,20231206,5,0.26399155227032733,"told, driven, engaged, pushed, told"
_IRYYHoQS9g,20240215,6,0.8888888888888888,"seized, killed, killed, evacuated, pushed, echoed"
HEFnxGufZhU,20240822,4,0.48250904704463204,"killed, blown, built, broken"
xO3OF0C5yjQ,20240719,0,0.0,
LEDlu-3Ujek,20231025,6,0.4784688995215311,"allowed, destroyed, allowed, allowed, intensified, subjected"
H2EycTjH97I,20240323,7,0.26575550493545935,"blocked, vetoed, bombed, killed, attempted, justified, claimed"
fcaIVECkzo4,20231120,7,0.4242424242424243,"killed, seen, reported, reported, displaced, released, reduced"
1SDUpFTw7ms,20240310,0,0.0,
uZNW781wFXM,20240424,6,0.30060120240480964,"arrested, supposed, arrested, signed, stalled, passed"
m5VzJ9-idQI,20240902,1,0.11695906432748539,vaccinated
ELHgcce_-f8,20240724,2,0.261437908496732,"detected, done"
YWM1O-7Xj-o,20231113,4,0.14754703061600885,"killed, updated, killed, killed"
Kbl3MtCVMD0,20231116,0,0.0,
eq3B3bvdYl4,20231030,8,0.3063960168517809,"destroyed, told, limited, killed, injured, killed, risen, allowed"
