video_id,publish_date,total_term_count,total_word_count,israel,gaza,hamas,people,israeli,know,war,think,hostages,iran,israel_relative,gaza_relative,hamas_relative,people_relative,israeli_relative,know_relative,war_relative,think_relative,hostages_relative,iran_relative
_7NksAcG_l8,20240714,45,1020,4,10,3,8,3,7,3,6,1,0,3921.5686274509803,9803.921568627451,2941.176470588235,7843.137254901961,2941.176470588235,6862.745098039216,2941.176470588235,5882.35294117647,980.3921568627451,0.0
RDLZkqqOaLM,20240726,87,1979,30,7,3,5,13,9,13,3,4,0,15159.171298635674,3537.1399696816575,1515.9171298635674,2526.5285497726127,6568.974229408792,4547.751389590702,6568.974229408792,1515.9171298635674,2021.22283981809,0.0
cSMPo4XCSYU,20231117,185,3391,48,32,17,17,10,29,6,20,5,1,14155.11648481274,9436.744323208493,5013.270421704512,5013.270421704512,2948.982601002654,8552.049542907696,1769.3895606015924,5897.965202005308,1474.491300501327,294.8982601002654
fhwhQhoKVhk,20231220,119,3256,37,10,15,7,18,17,7,4,4,0,11363.636363636364,3071.253071253071,4606.879606879606,2149.87714987715,5528.255528255528,5221.130221130221,2149.87714987715,1228.5012285012285,1228.5012285012285,0.0
QG9QSHEgX6E,20231107,165,2705,42,42,11,11,15,21,9,11,3,0,15526.802218114603,15526.802218114603,4066.5434380776337,4066.5434380776337,5545.286506469501,7763.401109057301,3327.1719038817005,4066.5434380776337,1109.0573012939,0.0
l5pL2DhnjEE,20231121,88,2107,13,2,8,9,9,11,8,14,14,0,6169.909824394874,949.21689606075,3796.867584243,4271.476032273375,4271.476032273375,5220.692928334125,3796.867584243,6644.518272425249,6644.518272425249,0.0
o0arAFe0WmE,20231103,133,3150,30,13,21,9,13,15,5,13,14,0,9523.809523809525,4126.984126984127,6666.666666666667,2857.1428571428573,4126.984126984127,4761.904761904762,1587.3015873015872,4126.984126984127,4444.444444444444,0.0
FYck1QG52I0,20231019,40,953,20,3,7,0,2,1,5,2,0,0,20986.35886673662,3147.953830010493,7345.225603357817,0.0,2098.6358866736623,1049.3179433368311,5246.589716684155,2098.6358866736623,0.0,0.0
xSgxVYaNfXg,20231120,117,2322,18,22,11,17,9,25,8,0,7,0,7751.937984496124,9474.590869939706,4737.295434969853,7321.274763135229,3875.968992248062,10766.580534022396,3445.305770887166,0.0,3014.6425495262706,0.0
7qxY2fjvGhE,20231027,47,1032,13,2,12,3,4,5,0,5,3,0,12596.899224806202,1937.984496124031,11627.906976744185,2906.9767441860463,3875.968992248062,4844.961240310077,0.0,4844.961240310077,2906.9767441860463,0.0
lH3jvaO1wXc,20240221,31,744,10,8,1,0,4,1,7,0,0,0,13440.860215053764,10752.688172043012,1344.0860215053765,0.0,5376.344086021506,1344.0860215053765,9408.602150537634,0.0,0.0,0.0
we2YBYfeL58,20231015,67,1034,24,11,10,3,7,5,5,0,2,0,23210.831721470022,10638.297872340425,9671.179883945842,2901.3539651837527,6769.825918762089,4835.589941972921,4835.589941972921,0.0,1934.2359767891683,0.0
xjeZ0ot9I_Q,20240103,97,1635,36,5,17,0,16,5,10,5,1,2,22018.348623853213,3058.103975535168,10397.553516819571,0.0,9785.932721712537,3058.103975535168,6116.207951070336,3058.103975535168,611.6207951070336,1223.2415902140672
JwTjZs1kkzI,20231205,88,1822,18,27,12,10,6,3,6,1,5,0,9879.253567508233,14818.880351262349,6586.169045005488,5488.474204171241,3293.084522502744,1646.542261251372,3293.084522502744,548.8474204171241,2744.2371020856203,0.0
BIF4B4s1WWk,20240406,38,1131,6,16,0,8,2,3,3,0,0,0,5305.039787798408,14146.772767462422,0.0,7073.386383731211,1768.3465959328028,2652.519893899204,2652.519893899204,0.0,0.0,0.0
EEMrHbVn-x4,20231110,191,4056,32,37,34,36,11,8,21,6,2,4,7889.546351084813,9122.287968441815,8382.642998027613,8875.739644970414,2712.0315581854043,1972.3865877712033,5177.514792899408,1479.2899408284022,493.0966469428008,986.1932938856016
2S1Jq58-Krs,20240407,107,2048,24,18,11,19,5,1,8,3,18,0,11718.75,8789.0625,5371.09375,9277.34375,2441.40625,488.28125,3906.25,1464.84375,8789.0625,0.0
HkhyP7-LCw8,20231124,139,2928,35,8,16,7,16,21,2,4,29,1,11953.551912568306,2732.24043715847,5464.48087431694,2390.7103825136614,5464.48087431694,7172.131147540984,683.0601092896175,1366.120218579235,9904.371584699455,341.53005464480873
Cd4DHesX1sU,20231126,52,1121,9,21,4,5,3,0,9,0,1,0,8028.545941123996,18733.27386262266,3568.242640499554,4460.303300624442,2676.1819803746653,0.0,8028.545941123996,0.0,892.0606601248885,0.0
wzrFCDo-QXY,20240702,28,401,9,7,4,2,3,0,3,0,0,0,22443.890274314213,17456.359102244387,9975.062344139651,4987.5311720698255,7481.296758104738,0.0,7481.296758104738,0.0,0.0,0.0
D-W-DL3AJcI,20240622,23,605,3,12,0,0,1,2,5,0,0,0,4958.677685950413,19834.710743801654,0.0,0.0,1652.892561983471,3305.785123966942,8264.462809917355,0.0,0.0,0.0
Y52gkXzJgtk,20240803,48,747,18,2,4,3,5,3,2,1,1,9,24096.385542168675,2677.376171352075,5354.75234270415,4016.064257028112,6693.440428380188,4016.064257028112,2677.376171352075,1338.6880856760374,1338.6880856760374,12048.192771084337
vuTUeoxRxKA,20231115,107,1531,27,15,17,6,18,3,6,6,9,0,17635.532331809274,9797.517962116264,11103.853690398433,3919.007184846506,11757.021554539517,1959.503592423253,3919.007184846506,3919.007184846506,5878.510777269758,0.0
8zB4HN2h01I,20240731,220,3882,58,10,21,4,9,23,17,31,1,46,14940.752189592993,2575.991756826378,5409.582689335394,1030.3967027305514,2318.3925811437402,5924.78104070067,4379.185986604843,7985.574446161773,257.59917568263785,11849.56208140134
kdfIJyfhbwI,20240220,22,370,5,5,1,3,4,0,3,0,1,0,13513.513513513515,13513.513513513515,2702.702702702703,8108.108108108108,10810.810810810812,0.0,8108.108108108108,0.0,2702.702702702703,0.0
PdVMtjFu5Uc,20240123,132,2470,39,20,11,8,20,8,8,8,10,0,15789.473684210527,8097.165991902834,4453.441295546559,3238.8663967611333,8097.165991902834,3238.8663967611333,3238.8663967611333,3238.8663967611333,4048.582995951417,0.0
ltul06q2pd0,20231101,86,1846,20,19,8,15,6,11,7,0,0,0,10834.236186348862,10292.52437703142,4333.694474539545,8125.677139761647,3250.2708559046587,5958.829902491874,3791.982665222102,0.0,0.0,0.0
lvhBl-GjKwA,20240108,4,112,1,0,0,0,1,0,2,0,0,0,8928.571428571428,0.0,0.0,0.0,8928.571428571428,0.0,17857.142857142855,0.0,0.0,0.0
SB5_vNQgTKs,20231012,130,2442,55,12,11,15,10,9,7,3,4,4,22522.522522522522,4914.004914004914,4504.504504504504,6142.506142506142,4095.0040950040952,3685.5036855036856,2866.5028665028663,1228.5012285012285,1638.0016380016382,1638.0016380016382
P7vXJY21Fow,20240419,58,985,21,2,0,0,5,3,6,7,0,14,21319.79695431472,2030.4568527918782,0.0,0.0,5076.1421319796955,3045.6852791878173,6091.370558375635,7106.598984771574,0.0,14213.197969543147
DVTYyvQvLTM,20240104,65,959,27,4,15,0,5,2,9,2,0,1,28154.327424400417,4171.011470281544,15641.293013555789,0.0,5213.764337851929,2085.505735140772,9384.775808133472,2085.505735140772,0.0,1042.752867570386
hQ4fJ1Ey4rU,20240118,158,2434,45,11,13,1,9,15,20,17,3,24,18488.08545603944,4519.309778142974,5341.0024650780615,410.84634346754314,3697.6170912078883,6162.695152013147,8216.926869350864,6984.387838948233,1232.5390304026294,9860.312243221035
BfMO5snTG2I,20240221,47,1137,7,19,2,3,4,3,8,1,0,0,6156.552330694811,16710.642040457344,1759.014951627089,2638.5224274406332,3518.029903254178,2638.5224274406332,7036.059806508356,879.5074758135445,0.0,0.0
VrgBQlq9w_o,20240416,101,1613,41,1,1,1,4,3,16,2,0,32,25418.47489150651,619.962802231866,619.962802231866,619.962802231866,2479.851208927464,1859.8884066955982,9919.404835709856,1239.925604463732,0.0,19838.809671419713
SigTwH0T5KY,20231117,72,2265,22,3,0,10,7,14,15,1,0,0,9713.024282560706,1324.5033112582782,0.0,4415.0110375275935,3090.5077262693158,6181.0154525386315,6622.516556291391,441.5011037527594,0.0,0.0
KTJ38RPZlGs,20240115,32,377,9,4,6,3,2,3,2,0,2,1,23872.679045092835,10610.079575596816,15915.119363395226,7957.559681697613,5305.039787798408,7957.559681697613,5305.039787798408,0.0,5305.039787798408,2652.519893899204
bG1PL37OAiM,20231130,50,1548,13,4,6,2,7,6,2,2,8,0,8397.932816537468,2583.9793281653747,3875.968992248062,1291.9896640826873,4521.963824289405,3875.968992248062,1291.9896640826873,1291.9896640826873,5167.958656330749,0.0
onUWmPAb6Fw,20240205,74,1907,10,8,2,3,1,6,15,11,0,18,5243.838489774515,4195.070791819612,1048.767697954903,1573.1515469323544,524.3838489774515,3146.303093864709,7865.757734661772,5768.222338751966,0.0,9438.909281594128
HtIa2H9MU-4,20240406,1,279,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,3584.2293906810037,0.0,0.0,0.0,0.0,0.0,0.0
BqFOwduKHSA,20240527,7,87,2,2,0,1,1,0,1,0,0,0,22988.505747126437,22988.505747126437,0.0,11494.252873563219,11494.252873563219,0.0,11494.252873563219,0.0,0.0,0.0
X7SqqvhmyaM,20231222,72,1406,23,14,7,2,10,5,2,9,0,0,16358.463726884778,9957.325746799432,4978.662873399716,1422.4751066856331,7112.375533428165,3556.1877667140825,1422.4751066856331,6401.137980085348,0.0,0.0
IUTqD0xWG5A,20231026,99,1821,26,7,7,5,11,25,9,7,2,0,14277.869302580999,3844.0417353102694,3844.0417353102694,2745.744096650192,6040.637012630423,13728.720483250961,4942.339373970345,3844.0417353102694,1098.297638660077,0.0
V2IX9tnzhyI,20240306,41,1037,14,8,2,2,9,0,5,1,0,0,13500.482160077145,7714.561234329798,1928.6403085824495,1928.6403085824495,8678.881388621023,0.0,4821.600771456124,964.3201542912248,0.0,0.0
87jeUSQ8jHg,20240610,27,688,7,3,1,0,2,6,7,0,1,0,10174.418604651164,4360.46511627907,1453.4883720930231,0.0,2906.9767441860463,8720.93023255814,10174.418604651164,0.0,1453.4883720930231,0.0
sjbwH5MKwtI,20231022,58,1611,15,4,7,8,6,13,3,0,2,0,9310.98696461825,2482.9298572315333,4345.127250155183,4965.859714463067,3724.3947858472998,8069.522036002483,1862.1973929236499,0.0,1241.4649286157667,0.0
Cjh8TtaifyY,20240213,82,1715,27,4,5,9,11,11,6,6,3,0,15743.44023323615,2332.3615160349855,2915.451895043732,5247.813411078718,6413.9941690962105,6413.9941690962105,3498.542274052478,3498.542274052478,1749.271137026239,0.0
YQCy4mFyH54,20231020,19,851,10,2,3,0,0,0,3,1,0,0,11750.881316098708,2350.1762632197415,3525.2643948296122,0.0,0.0,0.0,3525.2643948296122,1175.0881316098707,0.0,0.0
