file_name,video_id,publish_date,total_word_count,Lemma_genocide,Lemma_Israel,Lemma_Gaza,Lemma_Hamas,Lemma_War,Lemma_Hostages,Lemma_Iran,Lemma_Palestine,Lemma_Aid,Lemma_Military,Token_Palestinians,Token_Israelis,Lemma_Palestinian,Lemma_Israeli,Lemma_Humanitarian,Lemma_Ceasefire,Lemma_Rafa,Lemma_Netanyahu,Lemma_Hospital,Lemma_Children,Lemma_Minister,Lemma_Attack,Lemma_Killed,Lemma_Hezbollah,Lemma_Civilians,Lemma_Lebanon,Lemma_Terrorist,Lemma_terror,Lemma_Westbank,Lemma_Egypt,Lemma_Support,Lemma_Biden,Lemma_Court,Lemma_Food,Lemma_Water,Lemma_Electricity,Lemma_Health,Lemma_Negotiations,Lemma_Militia,Lemma_Family,Lemma_Hostage,Lemma_Refugee,Lemma_Protest,Lemma_Islamic,Lemma_unra,Lemma_Unrwa,Lemma_Diplomatic,Lemma_Jewish,Lemma_Suffering,Lemma_Casualties,Lemma_Death,Lemma_Militant,Lemma_Soldiers,Lemma_Human,Lemma_Prisoners,Lemma_Escalation,Lemma_Fuel,Lemma_Supplies,Lemma_Civilian,Lemma_idf,Lemma_Displace,Lemma_UN,Lemma_Israeli Government,Lemma_October 7th,Lemma_United states,Lemma_Evacuate corridor,Lemma_Terror attacks,Lemma_Release hostages,Lemma_United Nations,Lemma_Israeli military
"1,400 dead in gaza airstrikes the humanitarian crisis - bbc news_treetagger_output.txt",T4u1mT9956E,20231012,655,0,1,10,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
7 members of hamas leader’s family killed in israeli airstrike - bbc news_treetagger_output.txt,8SepfTHRJ3U,20240410,1089,0,14,15,9,6,2,1,0,2,2,1,1,3,2,2,5,2,1,0,2,3,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
700 dead in israel as it “declares war” on hamas - bbc news_treetagger_output.txt,FXrVtabZggI,20231008,953,0,11,11,6,2,0,0,0,0,1,3,3,3,6,0,0,0,0,0,2,1,3,3,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-year-old shot dead by israeli forces in west bank  bbc news_treetagger_output.txt,1_6RjK6EXBs,20231129,441,0,5,3,1,1,0,0,0,0,2,0,0,2,2,0,0,0,0,2,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
airstrike hits area of rafah crossing at gaza-egypt border - bbc news_treetagger_output.txt,SLGy55vAjZM,20231016,851,0,19,5,6,4,0,0,0,4,2,4,1,6,1,2,0,3,2,5,0,2,0,0,0,3,0,0,1,0,7,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0
al jazeera office in israel raided and channel taken off air in country  bbc news_treetagger_output.txt,Nb-39UN3vjA,20240505,817,0,11,2,2,6,0,0,0,0,1,0,3,1,8,0,0,0,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anthony blinken pushes us israel-gaza ceasefire plan in middle east  bbc news_treetagger_output.txt,p0e02AaHB3I,20240610,1140,0,9,6,9,7,3,0,0,1,1,2,1,0,1,1,5,0,5,0,0,3,2,1,0,0,0,0,1,0,1,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
are  israel and hezbollah edging closer to all-out war  bbc news_treetagger_output.txt,ImkRgON7bqM,20240717,502,0,6,2,1,5,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,3,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
are israeli air strike warnings effective - bbc news_treetagger_output.txt,9hQF8o2dKBA,20140717,130,0,0,0,1,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at least 10 dead in huge israeli military operation in west bank  bbc news_treetagger_output.txt,vGsU_e_LS5Y,20240829,831,0,8,3,3,3,0,4,0,0,2,4,2,9,6,0,0,0,3,0,0,2,0,3,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
