file_name,video_id,publish_date,total_word_count,..genocide,..Israel,..Gaza,..Hamas,..War,..Iran,..Palestine,..Aid,..Military,Palestinians..,Israelis..,..Palestinian,..Israeli,..Humanitarian,..Ceasefire,..Rafa,..Netanyahu,..Hospital,..Child,..Minister,..Attack,..Kill,..Hezbollah,..Civilian,..Lebanon,..Terrorist,..Terror,..Westbank,..West bank,..Egypt,..Support,..Biden,..Court,..Food,..Water,..Electricity,..Health,..Negotiation,..Militia,..Family,..Hostage,..Refugee,..Protest,..Islamic,..unra,..Unrwa,..Diplomatic,..Jewish,..Suffering,..Casualty,..Death,..Militant,..Soldier,..Human,..Prisoner,..Escalation,..Fuel,..Supply,Supplies..,..idf,..Displace,..UN,..Israeli Government,..October 7th,..United states,..Evacuate corridor,..Terror attack,..Release hostage,..United Nations,..Israeli military,..Human right,..defend itself,..Self-defence,..Self-defense,..self defense,..self defence
'the most dangerous words for a middle easterner are the american words trust us' marwan bishara_output.json,-41vt7KAf70,20231115,688,1,4,4,7,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0
"'this war must stop, palestinian right to self-determination must be recognised’ un chief_output.json",gFRTBob5ayg,20240913,901,0,8,6,1,8,0,0,0,0,2,0,2,2,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17,0,1,3,0,0,0,0,0,1,0,0,0,0,0
'unparalleled & unprecedented' un secretary general condemns civilian deaths_output.json,eOsp09Eqt0E,20231121,312,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
'we europeans created the problem' analyst holds europe accountable for israel-gaza war_output.json,n23aaqx6O1c,20240212,1651,7,17,5,4,3,0,3,0,0,5,0,4,4,1,2,13,2,0,1,3,0,5,0,2,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
"'we will never leave our house, even if they kill us' gaza resident_output.json",zPqq-7fQ8So,20231119,340,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'western leaders exposed as netanyahu's 'useful idiots' in backing genocidal war' bishara_output.json,1oqqu2z10X8,20240314,1169,2,6,11,0,6,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0
'you don't know if you're going to live or die' gaza resident_output.json,TRuCFc_PO4A,20231105,993,0,1,3,0,2,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1,030 of the palestinians killed in gaza are children, more than a third of total deaths_output.json",cX5dB8smQ8c,20231016,931,0,6,15,0,2,0,0,0,1,0,0,2,1,4,0,0,0,2,7,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1,200 children still buried under debris ministry_output.json",qszUjFL1q9I,20231103,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100 days of war on gaza displaced palestinians feel forgotten_output.json,pLYXvz-Oewk,20240114,332,0,2,3,0,4,0,0,0,0,2,0,1,1,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
