file_name,video_id,publish_date,total_word_count,..genocide,..Israel,..Gaza,..Hamas,..War,..Iran,..Palestine,..Aid,..Military,Palestinians..,Israelis..,..Palestinian,..Israeli,..Humanitarian,..Ceasefire,..Rafa,..Netanyahu,..Hospital,..Child,..Minister,..Attack,..Kill,..Hezbollah,..Civilian,..Lebanon,..Terrorist,..Terror,..Westbank,..West bank,..Egypt,..Support,..Biden,..Court,..Food,..Water,..Electricity,..Health,..Negotiation,..Militia,..Family,..Hostage,..Refugee,..Protest,..Islamic,..unra,..Unrwa,..Diplomatic,..Jewish,..Suffering,..Casualty,..Death,..Militant,..Soldier,..Human,..Prisoner,..Escalation,..Fuel,..Supply,Supplies..,..idf,..Displace,..UN,..Israeli Government,..October 7th,..United states,..Evacuate corridor,..Terror attack,..Release hostage,..United Nations,..Israeli military
northern israel prepares for potential hezbollah conflict  bbc news_output.json,m3pYJCgLiCI,20240807,1079,0,12,6,6,2,1,0,0,1,0,0,0,2,0,3,0,0,2,0,0,7,1,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0
on board us warships guarding against houthi attacks i bbc news_output.json,VaXV5Qkq3y0,20240125,472,0,5,4,2,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
palestinian community mourns 7 children killed in gaza airstrike - bbc news_output.json,9OJz2DHeRZU,20210524,545,0,7,4,2,2,0,0,0,0,1,3,5,2,0,2,0,0,1,5,0,1,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palestinians accuse israel of “crimes against humanity” in gaza - bbc news_output.json,rOgFr8_YQbg,20231014,915,0,11,10,9,4,0,0,0,0,11,3,7,4,1,0,1,0,2,5,0,3,3,0,5,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,3,0,0,0,0,0,0,2,0
palestinians flee khan younis after israel warning  bbc news_output.json,FbVslJEeLBM,20240703,612,0,3,4,1,0,0,0,3,4,4,0,0,7,2,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4
palestinians flee khan younis as israeli forces strike south gaza  bbc news_output.json,rOTIwcf844M,20240702,848,0,2,7,3,1,0,0,0,1,2,0,0,6,1,0,2,0,13,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1
palestinians in west bank call for ceasefire  bbc news_output.json,1wPKMi3kE7A,20231212,313,0,5,4,2,3,0,0,0,0,2,0,8,1,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
palestinians living abroad say microsoft unfairly closing accounts  bbc news_output.json,JcxbQLyomVE,20240711,575,0,0,3,1,0,0,0,0,0,7,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pause in fighting holds as gaza children get polio vaccine  bbc news_output.json,QeF_8iedJ78,20240901,660,0,3,8,2,4,0,0,0,0,0,0,0,2,1,0,0,0,3,8,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
"possible polio outbreak in gaza 'worrying', says world health organization  bbc news_output.json",V_918B4hLL4,20240723,2198,0,4,14,6,3,1,0,3,1,4,2,1,5,3,4,0,5,1,4,3,0,2,0,0,0,0,0,0,2,1,1,7,0,0,3,1,4,0,0,1,3,0,2,0,0,0,2,0,0,2,0,1,0,0,0,0,1,3,1,0,2,1,0,0,3,0,0,0,0,0
president biden sets out new israeli proposal to end war in gaza i bbc news_output.json,HtM_XeO1fUg,20240531,888,0,4,8,14,8,0,0,0,0,3,4,2,5,1,7,0,4,0,0,6,0,1,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,4,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
president biden unveils surprise gaza peace plan to end war  bbc news_output.json,09nR18O_7pQ,20240531,534,0,6,5,5,6,0,0,1,0,0,2,2,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
president biden warns israel against rafah invasion  bbc news_output.json,hT3qXl7ZTH4,20240509,1729,0,23,15,6,3,0,0,3,6,0,5,1,8,3,1,13,3,0,1,0,2,6,0,4,0,0,0,0,0,0,2,11,0,0,10,0,2,0,0,1,2,0,0,0,0,0,1,0,1,0,1,0,1,3,0,0,3,5,0,1,1,2,1,0,0,0,0,0,0,2
president joe biden and jordanian king urge israel not to carry out rafah offensive - bbc news_output.json,aZUshbIWkis,20240213,1098,0,8,9,3,4,0,0,2,3,4,0,1,2,3,4,5,0,0,1,0,2,2,0,1,1,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,1,5,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
pressure to end war in gaza grows with netanyahu to meet biden in us  bbc news_output.json,-2knX9hvQIo,20240723,632,0,2,3,4,0,0,0,0,2,0,2,0,3,2,1,0,1,0,0,1,2,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1
