file_name,video_id,publish_date,total_word_count,..genocide,..Israel,..Gaza,..Hamas,..War,..Iran,..Palestine,..Aid,..Military,Palestinians..,Israelis..,..Palestinian,..Israeli,..Humanitarian,..Ceasefire,..Cease fire,..Rafa,..Netanyahu,..Hospital,..Child,..Minister,..Attack,..Kill,..Hezbollah,..Civilian,..Lebanon,..Terrorist,..Terror,..Westbank,..West bank,..Egypt,..Support,..Biden,..Court,..Food,..Water,..Electricity,..Health,..Negotiation,..Militia,..Family,..Hostage,..Refugee,..Protest,..Islamic,..unra,..Unrwa,..Diplomatic,..Jewish,..Suffering,..Casualty,..Death,..Militant,..Soldier,..Human,..Prisoner,..Escalation,..Fuel,..Supply,Supplies..,..idf,..Displace,..UN,..Israeli Government,..October 7th,..United states,..Evacuate corridor,..Terror attack,..Release hostage,..United Nations,..Israeli military,..Human right,..defend itself,..Self-defence,..Self-defense,..self defense,..self defence
after encircling khan younis – what are the idf’s plans for the coming days  dw news_output.json,JwTjZs1kkzI,20231205,1876,0,12,27,12,3,0,0,0,9,2,0,0,6,2,1,0,3,2,6,0,2,6,3,0,2,0,1,0,0,0,3,2,0,0,1,3,0,3,1,0,5,6,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"after killing of aid workers, how have aid organizations been affected  dw news_output.json",BIF4B4s1WWk,20240406,1145,0,4,16,0,3,0,1,10,0,2,0,1,2,3,0,0,1,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,5,5,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0
"after netanyhau comments, what is israel’s end-game in gaza  dw news_output.json",EEMrHbVn-x4,20231110,4225,0,19,35,34,13,2,0,3,6,6,5,3,9,21,6,0,0,4,36,1,4,11,2,1,8,1,2,2,0,0,0,0,0,0,3,4,0,1,1,1,4,4,0,0,0,0,0,0,0,0,1,1,6,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"after six months of war, are hostages in gaza being forgotten  dw news_output.json",2S1Jq58-Krs,20240407,2109,0,19,16,11,4,0,0,0,0,0,0,2,5,3,1,0,0,3,0,0,1,3,2,0,2,0,3,2,0,0,0,3,0,0,0,0,0,1,2,0,13,22,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,2,0,0,0,1,0,0,0,0,0
after successful release what can be expected in the coming days  dw news_output.json,HkhyP7-LCw8,20231124,3016,0,19,8,16,1,1,1,3,4,0,6,10,14,3,6,0,1,4,1,2,3,4,2,0,0,1,2,9,0,3,3,3,3,0,1,0,0,0,2,0,1,31,0,0,2,0,0,0,0,0,0,1,0,0,1,8,1,3,1,0,0,0,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0
agencies rush to deliver aid to gaza as long as truce holds  dw news_output.json,Cd4DHesX1sU,20231126,1142,0,6,18,4,5,0,0,6,2,0,0,0,3,4,2,1,1,0,3,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aid groups accuse israel of targeting gaza's water and sanitation services  dw news_output.json,wzrFCDo-QXY,20240702,392,0,4,5,4,2,0,0,0,2,4,0,2,3,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aid organizations warn that the current heatwave deepens humanitarian crisis in gaza  dw news_output.json,D-W-DL3AJcI,20240622,594,0,2,10,0,1,0,0,0,1,2,0,0,1,3,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,6,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"airlines suspend flights to lebanon, iran, and israel over fears of intensifying regional conflict_output.json",Y52gkXzJgtk,20240803,731,0,11,2,4,2,7,0,0,1,3,0,1,5,0,0,0,0,0,0,0,0,4,6,3,0,3,1,0,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
al-shifa hospital in gaza raided while families of hamas hostages march  dw news_output.json,vuTUeoxRxKA,20231115,1595,0,9,13,15,3,0,0,2,7,3,0,3,18,1,1,0,0,2,20,2,1,1,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,8,0,1,0,0,0,0,0,0,1,0,3,1,0,1,0,0,0,0,4,1,2,4,1,2,0,0,0,1,5,0,0,0,0,0,0
